Date,Close,High,Low,Open,Volume
2021-07-06,135.9797821044922,138.08050182244278,135.04021992726715,138.08050182244278,15083400
2021-07-07,136.13931274414062,136.75091805962074,134.3311006821662,134.7388285424153,12271800
2021-07-08,133.79042053222656,135.19976381598372,132.99266909841674,134.3842944909461,17834600
2021-07-09,138.07167053222656,138.40848635513726,135.24411096359202,135.6607114124253,13694500
2021-07-12,140.04827880859375,141.07648460789807,136.4495720361371,136.81299170185636,19940400
2021-07-13,137.96530151367188,139.50761048838007,136.059586333379,138.31986229670815,22671700
2021-07-14,137.49549865722656,139.41008600877203,135.57205235941692,138.23119695041603,14622800
2021-07-15,137.79689025878906,138.7453115430436,136.23684997798162,136.4141235939525,11539300
2021-07-16,134.65023803710938,138.52372147180876,133.86135891934174,138.2400863803639,14002700
2021-07-19,130.27149963378906,132.79769250299162,129.15466373141084,131.67198412889726,22172900
2021-07-20,132.7001953125,133.94998308965623,129.70422117589024,129.87263584394012,15385200
2021-07-21,135.49224853515625,136.19248382390688,134.16267656085802,134.7742818330521,12356700
2021-07-22,133.7815399169922,136.00636591544918,132.93062133619435,135.5099944891326,9913300
2021-07-23,133.52452087402344,135.4745576479783,133.17883259830012,134.26907815633373,9666100
2021-07-26,134.41976928710938,134.69455895453981,133.10792825678593,133.1256596764838,8208000
2021-07-27,134.24244689941406,135.1642910372804,132.77992314572356,133.31174381747218,11218700
2021-07-28,134.46408081054688,135.41251557789045,133.7372549597358,134.98704268827927,9217300
2021-07-29,135.61636352539062,136.38751106838288,134.65021097898068,135.74045638891934,9063500
2021-07-30,134.5349884033203,136.2102489647489,134.02088548961353,135.24409633688512,9805200
2021-08-02,133.9943084716797,136.90163911627397,133.9056784243494,134.75659720929346,10203200
2021-08-03,135.5188446044922,135.89999561957734,132.53174377103537,134.68564396813062,10394800
2021-08-04,134.0563507080078,135.9443342154893,133.76384317302131,134.06520965448289,10155000
2021-08-05,135.7493438720703,136.2279975356676,134.73886933516673,134.97819616696538,9151500
2021-08-06,139.60508728027344,139.88873585441874,137.4866360206438,137.5575481641801,13328800
2021-08-09,139.4544219970703,140.53580865625037,138.18688924650905,139.62283666900805,9516900
2021-08-10,141.16510009765625,141.8032958021439,138.55027761335361,138.93142865705656,8667000
2021-08-11,142.84927368164062,143.1506402044655,141.00559817859457,141.8210676948265,9156500
2021-08-12,143.4076690673828,143.921772003893,142.30856457045914,143.48745368821557,8844200
2021-08-13,141.80331420898438,143.73563298870502,141.43990805864865,143.4076626236192,8980900
2021-08-16,140.8726348876953,140.96127846635474,138.96691967251823,140.88150736062795,8755800
2021-08-17,139.1707763671875,140.8105878105227,137.62848097032506,139.66716144646568,9347200
2021-08-18,137.90322875976562,140.0571292091094,137.6904923409594,138.55028343661147,8065500
2021-08-19,136.75091552734375,137.88548258935893,135.62520740991553,135.75817272935706,9517700
2021-08-20,137.1409149169922,137.30045705789345,135.75816226209372,136.81295816618055,6974100
2021-08-23,138.89596557617188,139.24165378838816,137.60185627920094,137.68162736084153,7934600
2021-08-24,139.75579833984375,140.535818548943,139.0466902884,139.16192423522904,7670900
2021-08-25,142.6365203857422,143.3988090756872,139.87101421994598,140.50033755954504,11335000
2021-08-26,143.37222290039062,145.2158982398354,142.84038853368375,143.82427264451462,11027500
2021-08-27,144.52455139160156,144.62205392804012,142.93792043729334,143.3722523769038,8780200
2021-08-30,142.21104431152344,144.91451048294923,141.7146728554796,144.6663247549273,7937600
2021-08-31,141.77674865722656,143.03540903442826,141.24492775811794,142.21108055450983,12340800
2021-09-01,141.5728759765625,142.49470692690596,140.9080897495971,142.01606679453946,8729900
