agent,roi_pct,buy_hold_pct,sharpe,max_dd_pct,trades,train_s
Turtle breakout,25.4,97.84,1.15,-18.71,61,0.0
SMA crossover,1.5,97.84,2.09,-0.38,20,0.0
RSI mean-reversion,3.83,97.84,1.21,-2.74,29,0.0
Evolution strategy,18.82,97.84,1.48,-7.39,118,60.2
DQN,0.25,97.84,0.31,-1.08,85,175.3
PPO,30.51,97.84,1.3,-20.17,126,160.0
