model,rmse,mape,dir_acc,rmse_ci_lo,rmse_ci_hi,train_s,dm_p_vs_drift,dm_stat
ARIMA,2.802786540562711,1.4123548063559137,60.0,2.356,3.294,3.1,0.201,-1.29
LSTM,2.8075272500331274,1.4126409894499314,53.0,2.355,3.311,11.9,0.182,-1.34
GRU,2.8126459272006983,1.411569652376675,59.0,2.367,3.307,40.8,0.282,-1.08
Transformer,2.8508909383931016,1.4136006030965838,52.0,2.388,3.362,36.5,0.62,-0.5
N-BEATS,2.8837407855397896,1.4316746237596252,53.0,2.416,3.39,6.5,0.918,-0.1
Drift,2.891693567954798,1.4594666613420857,51.0,2.423,3.391,0.0,,
XGBoost,2.9230088757849955,1.5103070962941905,53.0,2.448,3.384,2.7,0.933,0.08
PatchTST,3.1141138352762994,1.518291626988035,56.00000000000001,2.557,3.686,12.2,0.065,1.86
