model,rmse,mape,dir_acc,train_s
ARIMA,7.025058308490498,1.461394127604909,45.0,2.1
LSTM,7.032825633806008,1.4651844563871954,45.0,12.8
GRU,7.078788972472282,1.495609506081981,37.0,31.3
Drift,7.084128685402569,1.5263835064570557,53.0,0.0
Transformer,7.114954262860077,1.5110786233521794,47.0,48.4
PatchTST,7.482579036800874,1.6915372755079914,40.0,11.9
XGBoost,7.513006181045945,1.6211978408658523,45.0,1.5
N-BEATS,7.759831003818282,1.7111523620429578,41.0,9.6
