model,rmse,mape,dir_acc,rmse_ci_lo,rmse_ci_hi,train_s,dm_p_vs_drift,dm_stat
ARIMA,7.025058308490498,1.461394127604909,45.0,5.43,8.786,3.1,0.811,-0.24
LSTM,7.032825633806008,1.4651844563871954,45.0,5.441,8.793,11.0,0.839,-0.2
GRU,7.078788972472282,1.495609506081981,37.0,5.513,8.821,25.5,0.984,-0.02
Drift,7.084128685402569,1.5263835064570557,53.0,5.647,8.671,0.0,,
Transformer,7.114954262860077,1.5110786233521794,47.0,5.573,8.814,35.2,0.904,0.12
PatchTST,7.482579036800874,1.6915372755079914,40.0,6.087,9.029,10.5,0.207,1.27
XGBoost,7.513006181045945,1.6211978408658523,45.0,5.903,9.318,2.4,0.736,0.34
N-BEATS,7.759831003818282,1.7111523620429578,41.0,6.158,9.53,8.4,0.083,1.75
